timestamp,VWAP,Liquidity,Max,Min,Timestamp,Volatility,FD
2022-02-05 12:00:00,6.498479521276596,0.0,6.498940957446808,6.4980180851063825,2022-02-05 12:00:00,0.00014201357985421,210213.25648409742
2022-02-05 18:00:00,6.4973720744680845,0.0,6.497833510638298,6.496910638297872,2022-02-05 18:00:00,0.00014203778540746633,210213.25648409742
2022-02-06 00:00:00,6.496264627659575,0.0,6.4967260638297875,6.495803191489362,2022-02-06 00:00:00,0.00014206199921357692,210213.25648409742
2022-02-06 06:00:00,6.495157180851064,0.0,6.495618617021276,6.494695744680851,2022-02-06 06:00:00,0.00014208622127662653,210213.25648409742
2022-02-06 12:00:00,6.494049734042554,0.0,6.494511170212766,6.49358829787234,2022-02-06 12:00:00,0.0001421104516012496,210213.25648429972
2022-02-06 18:00:00,6.4940267966903065,123.66666666666667,6.498419999999999,6.49285,2022-02-06 18:00:00,0.0008577112744342836,210213.25648409742
2022-02-07 00:00:00,6.507700277777778,1996.6666666666667,6.512921666666667,6.499548333333333,2022-02-07 00:00:00,0.002055001423313947,31059.24596050475
2022-02-07 06:00:00,6.512711666666665,4983.0,6.516895,6.508315,2022-02-07 06:00:00,0.0013174235923746442,22956.13160518347
2022-02-07 12:00:00,6.508538333333334,6351.166666666667,6.514596666666666,6.50241,2022-02-07 12:00:00,0.0018724122133923584,45920.74592074456
2022-02-07 18:00:00,6.509209233716476,1893.0,6.51743,6.505312068965518,2022-02-07 18:00:00,0.001861659473429389,34956.236323854035
2022-02-08 00:00:00,6.510635277777779,2580.8333333333335,6.517211666666666,6.504568333333333,2022-02-08 00:00:00,0.0019419507918816427,17824.82499573223
2022-02-08 06:00:00,6.522223888888888,5185.666666666667,6.52736,6.513678333333333,2022-02-08 06:00:00,0.0020976996343186854,16293.171631953877
2022-02-08 12:00:00,6.52030361111111,5612.5,6.5244583333333335,6.516625,2022-02-08 12:00:00,0.0012013755494429002,26458.764770373695
2022-02-08 18:00:00,6.518405555555556,2581.1666666666665,6.521123333333334,6.517228333333334,2022-02-08 18:00:00,0.0005975387641660808,66510.63829787401
2022-02-09 00:00:00,6.514109166666667,2245.6666666666665,6.517856666666666,6.510973333333334,2022-02-09 00:00:00,0.001056680684529281,72657.25288831869
2022-02-09 06:00:00,6.515141388888888,4410.0,6.52127,6.509285,2022-02-09 06:00:00,0.001839560998697542,37336.56174334973
2022-02-09 12:00:00,6.508400555555556,5656.333333333333,6.510373333333334,6.507643333333333,2022-02-09 12:00:00,0.0004194578954840515,23028.78598247784
2022-02-09 18:00:00,6.512437222222222,1676.3333333333333,6.515035,6.5089266666666665,2022-02-09 18:00:00,0.0009379489006804236,157142.8571428246
2022-02-10 00:00:00,6.513804722222222,2068.3333333333335,6.516826666666666,6.511023333333333,2022-02-10 00:00:00,0.0008909283561317564,31923.60163710636
2022-02-10 06:00:00,6.513776555555555,1460.0,6.516813,6.51075,2022-02-10 06:00:00,0.0009307964355684047,41355.54279150353
2022-02-10 12:00:00,6.503343055555557,5122.833333333333,6.522876,6.477966666666666,2022-02-10 12:00:00,0.0069055765549642335,48820.715817250966
2022-02-10 18:00:00,6.502680833333334,4049.5,6.517143333333333,6.48679,2022-02-10 18:00:00,0.004667818413866983,4609.286859450092
2022-02-11 00:00:00,6.528132222222222,2589.6666666666665,6.534626666666667,6.523365,2022-02-11 00:00:00,0.001725097820220528,7511.530858774459
2022-02-11 06:00:00,6.533266388888889,5174.333333333333,6.53667,6.529636666666667,2022-02-11 06:00:00,0.0010765416431350171,22820.77845197516
2022-02-11 12:00:00,6.526093139329806,6299.333333333333,6.5302380952380945,6.523074074074073,2022-02-11 12:00:00,0.0010977503708684208,28862.559241706607
2022-02-11 18:00:00,6.5528140384615385,5546.5,6.559168333333333,6.538390000000001,2022-02-11 18:00:00,0.003170902334687765,48576.070901034065
2022-02-12 00:00:00,6.5536615384615375,0.0,6.553834615384615,6.553488461538461,2022-02-12 00:00:00,5.281838925042428e-05,11983.636801155555
2022-02-12 06:00:00,6.554076923076923,0.3333333333333333,6.55425,6.553903846153846,2022-02-12 06:00:00,5.281504172390581e-05,560444.444444202
2022-02-12 12:00:00,6.555092058823529,0.0,6.555693529411765,6.554490588235294,2022-02-12 12:00:00,0.0001835124763582688,560444.444444202
2022-02-12 18:00:00,6.5565355882352945,0.0,6.557137058823529,6.555934117647059,2022-02-12 18:00:00,0.00018347207306076933,161271.39364295936
2022-02-13 00:00:00,6.557979117647059,0.0,6.558580588235294,6.557377647058824,2022-02-13 00:00:00,0.00018343168755039345,161271.39364307845
2022-02-13 06:00:00,6.559422647058824,0.0,6.5600241176470595,6.558821176470588,2022-02-13 06:00:00,0.00018339131981539786,161271.39364307845
2022-02-13 12:00:00,6.560866176470589,0.0,6.561467647058825,6.5602647058823536,2022-02-13 12:00:00,0.00018335096984377897,161271.39364295936
2022-02-13 18:00:00,6.5596061508951395,315.6666666666667,6.562430000000001,6.550129999999999,2022-02-13 18:00:00,0.0018751125779591271,161271.39364295936
2022-02-14 00:00:00,6.553571944444445,2154.3333333333335,6.556938333333333,6.546681666666667,2022-02-14 00:00:00,0.0015650498313916634,13821.138211380392
2022-02-14 06:00:00,6.570268888888889,5690.833333333333,6.582061666666666,6.55743,2022-02-14 06:00:00,0.003748958693048508,20669.483262919945
2022-02-14 12:00:00,6.579357924836601,7942.333333333333,6.583561666666666,6.573573333333333,2022-02-14 12:00:00,0.0015181319282886296,7916.638473509872
2022-02-14 18:00:00,6.585195,3156.0,6.590875,6.580884999999999,2022-02-14 18:00:00,0.001517039358743388,19622.893375605006
2022-02-15 00:00:00,6.577158055555556,2194.6666666666665,6.580175,6.575013333333334,2022-02-15 00:00:00,0.0007847867761526786,34934.934934934354
2022-02-15 06:00:00,6.56609,6170.5,6.576556666666666,6.55873,2022-02-15 06:00:00,0.0027149592324604466,42621.892153702094
2022-02-15 12:00:00,6.557155277777778,6815.333333333333,6.561721666666667,6.550003333333334,2022-02-15 12:00:00,0.0017871062735157377,10994.76439790604
2022-02-15 18:00:00,6.5526891007532955,1851.6666666666667,6.553333333333333,6.552136666666667,2022-02-15 18:00:00,0.00018262222551173688,40876.120039823065
2022-02-16 00:00:00,6.557009166666667,2121.6666666666665,6.559493333333333,6.553716666666667,2022-02-16 00:00:00,0.000880991092102211,676880.222841564
2022-02-16 06:00:00,6.541993611111111,4936.5,6.553016666666666,6.537376666666666,2022-02-16 06:00:00,0.0023907085408088587,53491.055972309696
2022-02-16 12:00:00,6.543438888888889,6118.5,6.54843,6.537229999999999,2022-02-16 12:00:00,0.0017116382058704248,14641.943734015045
2022-02-16 18:00:00,6.537120879535721,2816.3333333333335,6.539946551724137,6.532698333333333,2022-02-16 18:00:00,0.0011087783940930565,32946.42857142697
2022-02-17 00:00:00,6.543689166666667,4019.6666666666665,6.55819,6.53655,2022-02-17 00:00:00,0.0033070030450457664,60428.64278975279
2022-02-17 06:00:00,6.547197499999999,6406.5,6.5521666666666665,6.54357,2022-02-17 06:00:00,0.001313029989803513,9842.883548983518
2022-02-17 12:00:00,6.544735277777778,7270.833333333333,6.54606,6.541775,2022-02-17 12:00:00,0.0006547247242449769,68863.9007367203
2022-02-17 18:00:00,6.546871789405685,1918.1666666666667,6.547903333333333,6.544418333333334,2022-02-17 18:00:00,0.0005323152968474245,111085.18086349207
2022-02-18 00:00:00,6.545831944444444,2753.5,6.548245,6.5444700000000005,2022-02-18 00:00:00,0.0005767028594742797,96126.2553802142
2022-02-18 06:00:00,6.5435775000000005,4528.166666666667,6.548961666666667,6.541251666666667,2022-02-18 06:00:00,0.0011782545557075357,78145.69536425507
2022-02-18 12:00:00,6.557176666666667,6262.666666666667,6.569791666666666,6.545646666666667,2022-02-18 12:00:00,0.003682225022659494,32814.52658884426
2022-02-18 18:00:00,6.5671080437352245,1681.8333333333333,6.569736595744681,6.563988333333333,2022-02-18 18:00:00,0.0008753110765144057,8076.206253883135
2022-02-19 00:00:00,6.569864680851064,0.0,6.569956170212766,6.569773191489362,2022-02-19 00:00:00,2.7851216469883598e-05,40707.95368319203
2022-02-19 06:00:00,6.5700842553191485,0.0,6.570175744680851,6.569992765957447,2022-02-19 06:00:00,2.785028567268158e-05,1060232.5581397065
2022-02-19 12:00:00,6.5703038297872345,0.0,6.570395319148936,6.570212340425532,2022-02-19 12:00:00,2.78493549376926e-05,1060232.5581397065
2022-02-19 18:00:00,6.570523404255319,0.0,6.570614893617022,6.570431914893617,2022-02-19 18:00:00,2.784842426504561e-05,1060232.5581397065
2022-02-20 00:00:00,6.5707429787234055,0.0,6.570834468085107,6.570651489361703,2022-02-20 00:00:00,2.7847493654328826e-05,1060232.55813456
2022-02-20 06:00:00,6.57096255319149,0.0,6.571054042553192,6.570871063829788,2022-02-20 06:00:00,2.7846563105941562e-05,1060232.5581397065
2022-02-20 12:00:00,6.571182127659576,0.0,6.571273617021277,6.571090638297873,2022-02-20 12:00:00,2.7845632619742397e-05,1060232.5581397065
2022-02-20 18:00:00,6.571021816953734,404.0,6.571546666666666,6.56912380952381,2022-02-20 18:00:00,0.00036871847489613243,1060232.5581397065
2022-02-21 00:00:00,6.553171666666667,2722.5,6.570853333333333,6.545831666666667,2022-02-21 00:00:00,0.0038182528917929475,125471.69811324634
2022-02-21 06:00:00,6.545276388888889,4111.833333333333,6.552555,6.539138333333333,2022-02-21 06:00:00,0.002049824311383229,7113.834676613902
2022-02-21 12:00:00,6.5612619444444436,4259.666666666667,6.564578333333333,6.558191666666667,2022-02-21 12:00:00,0.0009733899851498058,19677.01863353977
2022-02-21 18:00:00,6.576001817325801,1787.1666666666667,6.581537288135594,6.568545,2022-02-21 18:00:00,0.0019757123699939497,61534.446764090935
2022-02-22 00:00:00,6.581308055555556,3789.1666666666665,6.58575,6.57509,2022-02-22 00:00:00,0.0016197387981255673,18395.527985962908
