id,timestamp,first_fx_timestamp,max_value,min_value,mean_value,vol_value,fd_value
39,2024-04-05 05:54:54.214055,2024-04-05 09:48:51.000000,1.084,1.0836,1.0838569999999996,0.00036905237499059205,1229999.9999994526
40,2024-04-05 06:00:56.633129,2024-04-05 09:54:53.000000,1.084,1.0836,1.0838908888888896,0.00036904083621389517,1179999.999999475
41,2024-04-05 06:06:59.120991,2024-04-05 10:00:55.000000,1.08388,1.0836,1.0837635833333366,0.00025835893021876663,1203571.4285711793
42,2024-04-05 06:13:01.525389,2024-04-05 10:06:57.000000,1.08382,1.0835,1.0837596388888893,0.0002952684234745759,1943749.999999405
43,2024-04-05 06:19:03.866982,2024-04-05 10:13:00.000000,1.08392,1.0835,1.0837385000000017,0.0003875473649778856,1907142.8571424622
44,2024-04-05 06:25:06.406934,2024-04-05 10:19:02.000000,1.0838,1.0833,1.083630888888888,0.00046141172711756777,661999.9999997789
45,2024-04-05 06:31:08.882814,2024-04-05 10:25:06.000000,1.0836,1.0832,1.0834579444444452,0.00036918830310950397,1042500.0000001148
46,2024-04-05 06:37:14.417727,2024-04-05 10:31:08.000000,1.08373,1.0834,1.083602583333333,0.0003045396947883156,1348484.8484841804
47,2024-04-05 06:43:18.227312,2024-04-05 10:37:09.000000,1.08361,1.0831,1.0834273611111098,0.0004707283739603729,1352941.1764705605
48,2024-04-05 06:49:20.660352,2024-04-05 10:43:13.000000,1.08351,1.0832,1.0833918333333314,0.00028613839468056386,1093548.3870966597
49,2024-04-05 06:55:23.110933,2024-04-05 10:49:18.000000,1.08344,1.0831,1.0833478611111123,0.00031384194514520324,2464705.882352891
50,2024-04-05 07:01:25.449660,2024-04-05 10:55:22.000000,1.08352,1.08318,1.0834083055555541,0.00031382443558586207,1064705.8823529193
