Cycle,Pair,Classification,MAE
10,EURUSD,FORECASTABLE,0.0
10,USDGBP,UNDEFINED,0.0
10,GBPCAD,NON FORECASTABLE,0.0
20,EURUSD,FORECASTABLE,0.0
20,USDGBP,UNDEFINED,0.0
20,GBPCAD,NON FORECASTABLE,0.0
30,EURUSD,FORECASTABLE,0.0
30,USDGBP,UNDEFINED,0.0
30,GBPCAD,NON FORECASTABLE,0.0
40,EURUSD,FORECASTABLE,0.0
40,USDGBP,UNDEFINED,0.0
40,GBPCAD,NON FORECASTABLE,0.0
50,EURUSD,FORECASTABLE,0.0
50,USDGBP,UNDEFINED,0.0
50,GBPCAD,NON FORECASTABLE,0.0
